customer_id,birth,price_first_item_purchased,gender,revenue
041b77595d,3/15/1987,22.0,M,171
10863d9892,5/31/1978,44.0,M,156
c92646d6b3,6/1/1995,28.0,F,130
9303a03ba8,4/10/1975,22.0,M,165
0d73b6d6ef,8/12/1983,42.0,F,157
3d3035380b,12/30/1899,22.0,M,151
8487ac17ec,10/26/1968,10.0,F,73
f8bc6bce7d,10/24/1964,28.0,F,196
9d56bc42db,12/30/1899,44.0,M,176
21ec3b27e4,1/29/1986,117.0,F,360
aaebc7a8d9,7/1/1994,15.5,F,77
38dd974ae3,5/15/1991,44.0,F,255
d55d76b67e,8/3/1953,22.0,F,99
ff73e0f101,10/13/1982,57.0,F,283
1cae4db728,5/11/1987,57.0,F,150
672ec79ef4,10/28/1985,15.5,F,115
7f53e4acb9,1/22/1991,44.0,M,224
9a8ba01761,8/2/1982,44.0,M,188
164e479745,10/17/1967,22.0,M,188
453d4dfc9c,11/26/1969,102.0,F,374
0e71f3b906,8/2/1980,57.0,F,201
4bcb742912,10/17/1953,44.0,F,324
8fbb8f10fe,8/21/1989,15.5,F,178
238e326a7b,2/15/1960,22.0,F,82
ad72c41980,8/13/1966,22.0,M,135
251ad74e43,2/27/1986,57.0,F,343
2efa0a9c0b,10/13/1973,15.5,F,62
5a6854c136,9/19/1944,44.0,F,273
1c7e4dcd49,9/14/1977,22.0,M,132
cc0c918fac,11/6/1976,10.0,F,140
f180de4ead,6/17/1963,15.5,F,96
86133f98c1,2/3/2000,44.0,M,136
845b601310,12/14/1971,22.0,F,88
cd66059cc7,7/29/1947,42.0,F,192
1cbff9ad85,10/6/1940,10.0,M,165
82fe479d2e,4/21/1968,22.0,M,187
50c1704ad3,12/30/1899,28.0,F,170
5fcf6cb162,11/30/1958,44.0,F,271
51759b303b,12/10/1984,22.0,F,142
73f17e3984,12/30/1899,10.0,M,142
f79703991f,5/10/1994,28.0,M,130
310516bc9e,12/30/1899,117.0,F,238
7304fed476,2/2/1964,42.0,F,93
e68a0e1bed,11/28/1988,10.0,F,215
d9414bc03f,3/7/1984,22.0,F,142
f043f64a8c,10/11/1979,102.0,F,286
33087d6f27,12/6/1983,22.0,M,76
0a7a6e8892,9/30/1954,15.5,F,69
acbd2c0b9c,5/11/1988,117.0,F,188
f3d2f8f071,5/23/1983,15.5,F,188
92fe061a97,6/11/1984,22.0,M,200
f463ad7bd8,1/3/1982,22.0,F,211
423c5442ca,4/14/1960,42.0,F,288
09c75e22d1,2/20/1983,28.0,M,188
57ae239470,5/17/1992,102.0,M,241
05470ebc5c,12/22/1987,15.5,F,241
6791c84742,5/22/1960,15.5,F,261
ce26c214a7,10/2/1984,22.0,F,166
d3d4cd12bf,6/3/1993,22.0,M,171
c371656637,5/13/1959,44.0,F,181
850825ca85,6/26/1981,22.0,F,199
0b9b006a3b,6/27/1989,78.0,F,309
e79154ab10,2/27/1962,44.0,F,257
14ac1175e4,6/25/1978,102.0,F,163
ff1ae0230d,5/16/1950,42.0,F,170
9614449216,12/19/1978,44.0,F,82
ca97b3dfc3,1/31/1990,44.0,F,212
42e5141899,12/21/1992,44.0,F,103
4e17c29e78,11/18/1991,22.0,F,221
b992c981cf,12/9/1983,78.0,F,221
f4ca91f1d0,9/28/1985,57.0,M,210
501571162c,6/16/1970,44.0,F,228
1581008638,1/18/1980,22.0,M,123
9cf562336e,8/16/1984,57.0,F,110
2382ff1ffe,8/24/1980,15.5,F,166
b8b4a191f4,2/28/1990,10.0,F,166
f60db41e84,10/30/1980,10.0,F,119
be833677df,3/16/1978,15.5,F,141
852a20b7a1,3/7/1986,102.0,F,375
501e8040ab,7/8/1956,22.0,F,156
b49ca67f69,8/3/1992,57.0,F,119
d95fde4d17,3/20/1950,44.0,F,291
e4e726f87c,7/24/1992,10.0,F,77
6b2731f28a,1/15/1950,44.0,F,273
90a72a9f32,3/5/1981,78.0,M,225
8f1947aed5,7/10/1977,15.5,F,152
a22e521f37,8/17/1955,44.0,M,234
e1f828f972,4/20/1979,117.0,M,242
67810e3ff3,6/9/1950,10.0,F,263
674f74d78d,5/7/1969,78.0,F,220
27f9d2d175,4/1/1975,15.5,M,159
8f0a24a82a,4/16/1955,44.0,M,240
8abb4663bf,2/4/1980,42.0,F,220
5aa6598fb6,8/8/1995,44.0,F,184
78c25eabb0,12/26/1953,42.0,M,269
a6a02571fb,6/2/1970,57.0,F,270
2149b93b6d,7/19/1959,44.0,M,179
7e10b6a87a,12/30/1899,57.0,F,127
a31e9df0a2,5/31/1964,15.5,F,189
2095f7d13e,6/6/1983,102.0,F,241
d6932d2f52,9/25/1992,44.0,F,240
021db3a599,7/26/1967,22.0,F,216
ee8c835937,9/21/1969,10.0,M,137
873862ebb1,12/30/1899,22.0,M,131
828f102062,8/31/1984,15.5,F,164
757981839b,5/11/1961,117.0,F,227
2f0b043894,8/30/1984,22.0,M,131
6dd44f997d,3/12/1965,44.0,F,160
b314918685,12/26/1953,57.0,F,403
d7c4899e9f,7/12/1991,44.0,F,176
7e45e7556d,5/9/1983,22.0,F,220
1244e56264,10/23/1958,22.0,F,277
2ee527c044,12/30/1899,42.0,M,139
f1eba978f8,4/2/1952,78.0,M,223
5944d69eaa,2/15/1971,28.0,F,82
9bc27a60a7,10/22/1942,44.0,M,219
9bc27a60a7,10/22/1942,42.0,F,162
9bc27a60a7,10/22/1942,44.0,F,229
9e6dff2b23,8/26/1933,57.0,F,196
2caa67dc6e,6/21/1970,28.0,F,202
0ca3584093,6/14/1986,42.0,F,196
d3a77f31d5,9/18/1964,102.0,F,303
9ecf26e037,6/16/1982,44.0,M,161
975247ba49,2/4/1981,28.0,M,168
301e470e42,7/26/1977,57.0,F,113
78bc24021f,12/21/1977,22.0,F,140
23858ed10f,7/31/1960,57.0,F,134
e4dc534551,12/8/1980,15.5,M,121
5f40e08f88,2/17/1990,28.0,F,241
b7bf54b22f,8/27/1982,44.0,F,209
811ca9f9aa,4/1/1993,44.0,F,219
1603f582ad,3/5/1979,57.0,M,223
907c0ff6ca,10/14/1950,102.0,F,467
80b7f6ed45,11/18/1964,15.5,F,189
8cc1eb485f,5/23/1992,44.0,F,169
c69af52270,7/17/1984,22.0,M,112
8fe0eb21d1,6/27/1973,44.0,F,81
a95a72639c,3/6/1960,78.0,F,323
15c96691d4,11/18/1964,15.5,M,64
cc8766a721,12/4/1986,57.0,M,219
0ba892d0db,1/8/1982,22.0,M,120
0a9c085b16,7/24/1982,42.0,F,114
1f7b160e49,4/2/1982,22.0,F,171
8f7d8cace1,2/26/1973,44.0,M,95
8f7d8cace1,2/26/1973,44.0,M,94
d0ee34a7fd,6/1/1986,102.0,F,350
ad0f647987,7/23/1986,57.0,F,338
73751fa59c,7/3/1941,15.5,M,127
8ba021abdf,2/13/1987,10.0,M,163
b56a5488c0,10/9/1976,22.0,M,71
2342078e18,6/21/1961,44.0,M,243
2342078e18,6/21/1961,22.0,F,180
9536b81985,9/14/1984,15.5,F,159
cf07dc1ca2,12/30/1899,10.0,F,127
93ac938561,6/8/1988,22.0,F,85
ada842dc06,1/17/1983,22.0,M,193
a535af428b,5/24/1980,42.0,F,152
9027d63059,7/5/1983,15.5,F,95
10be5f0188,12/26/1980,44.0,M,114
9a97117b53,3/21/1954,15.5,M,70
a7d6b660cb,3/9/1990,22.0,F,57
d16f1419c8,5/21/1979,15.5,F,69
1aef95b9b7,7/10/1959,22.0,F,75
c6b009bc7c,6/27/1954,10.0,F,158
a7521e64f6,11/1/1992,10.0,F,124
78737328f6,10/20/1987,44.0,F,143
7edea10928,12/30/1899,28.0,F,147
bbad506dc0,9/12/1977,15.5,M,116
4dd38123c5,12/13/1986,44.0,M,202
adef1c02bf,12/30/1899,42.0,F,138
04fc00fbf5,6/16/1963,28.0,F,166
dcf8217616,3/8/1954,10.0,F,32
99bba7b58a,5/31/1980,117.0,F,292
237798408f,12/30/1899,44.0,F,187
c244e79809,5/29/1971,22.0,F,68
9ee54af004,12/30/1899,15.5,F,116
fd9d06af62,12/8/1980,78.0,F,192
dbe836a16e,10/19/1990,117.0,F,228
ebc3e63b26,4/27/1979,28.0,F,192
ca1a177493,2/26/1972,44.0,F,183
13837b20f1,12/30/1899,102.0,M,207
69d29f79fe,7/15/1979,42.0,M,91
aec5e384fc,12/30/1899,28.0,F,160
027beb31a7,4/1/1982,78.0,M,175
